"state","state_abbr","gov_position","fmap_percentage","multiplier","bal2012","bal2013","percent_metropolitan","gov_party","sen_party","house_party","population","percent_white","percent_black","percent_hispanic","percent_other_race","percent_favorable_aca","percent_supporting_expansion","percent_supporting_tea_party","obama_share_12","ideology","percent_medicaid","percent_uninsured","dsh_payments","percent_poverty","percent_poverty138","n_low_birthweight","infant_mortality_rate","cancer_incidence","heart_disease_death_rate","life_expectancy"
"North Carolina","NC","Opposes",65.88,1.93,4,3.1,67.2579513,"Republican","Republican","Republican",9752073,63,21,8,7,45.2240849305449,49.1062260873947,29.2147617036007,48.9659651,0.051402364,16,17,302694721,21,29,11109,8.2,480.1,174.9,77.8
"North Dakota","ND","Supports",50,1,75.6,24.3,49.9633715,"Republican","Republican","Republican",699628,84,1,3,13,36.7690453757597,41.6483280787478,31.2452479697466,39.8821049,0.180392361,9,10,9801133,13,18,607,6.6,462.3,158,79.5
"Ohio","OH","Supports",62.64,1.68,4.5,7.7,76.741822,"Republican","Republican","Republican",11544225,81,12,4,3,45.6298880813516,55.9029795198255,26.7292581828586,51.5145989,0.068878722,16,13,416846544,19,27,11899,7.7,448.1,192.4,77.8
"Oklahoma","OK","Opposes",62.3,1.65,11.8,2,67.4271887,"Republican","Republican","Republican",3814820,65,7,8,20,30.9578750918355,48.0008627984009,35.8668407617619,33.2276803,0.319788051,17,17,37157353,20,28,4458,7.8,466.3,235.2,75.9
"Oregon","OR","Supports",64.06,1.78,0.9,6.5,77.2481061,"Democrat","Democrat","Democrat",3899353,78,2,11,9,45.5832591683007,57.23525430389,28.4085787311141,56.2711672,-0.052899799,17,15,46446693,19,27,2865,5.2,449.1,137.9,79.5
"Pennsylvania","PA","Weighing Options",51.82,1.08,2.4,2,82.0341192,"Republican","Republican","Republican",12763536,80,11,6,4,45.819440292365,44.5154527294502,24.5277673527106,52.731934,0.005049107,15,11,575889532,18,25,11941,7.3,497.3,187,78.5
"Rhode Island","RI","Supports",50,1,8.6,7.7,100,"Independent","Democrat","Democrat",1050292,76,6,13,5,53.6978574569609,53.8211762398178,21.7533474837575,64.016746,-0.239334478,17,12,66695447,18,26,862,6.4,497.4,167.1,79.9
"South Carolina","SC","Opposes",70.64,2.41,17.3,12,68.4599511,"Republican","Republican","Republican",4723723,66,28,4,3,44.4870259057071,55.6537485351148,28.6825395597558,44.6917453,0.109491599,16,17,336042444,23,32,5781,7.9,428.7,189.9,77
"South Dakota","SD","Opposes",51.64,1.07,15.1,10.4,51.0580907,"Republican","Republican","Republican",833354,84,1,4,11,37.7170366708612,42.3463832038885,30.8834959018036,40.7815009,0.247433599,14,14,11332733,16,23,806,7.1,415.3,155.2,79.5
"Tennessee","TN","Weighing Options",64.99,1.86,10.1,8.3,76.0148619,"Republican","Republican","Republican",6456243,75,16,5,3,36.8615233253355,47.3261481674133,33.8561432736239,39.6489285,0.218964554,18,14,123562982,22,30,7179,8.2,477.7,217.4,76.3
"Texas","TX","Opposes",58.05,1.38,13.6,21.8,89.0302056,"Republican","Republican","Republican",26059203,42,11,41,6,42.8407014559672,49.0457235607283,31.008816404841,41.9921028,0.145283225,15,24,981192634,23,32,32486,6.2,434.7,181.1,78.5
"Utah","UT","Weighing Options",70.56,2.4,6.7,5.6,78.8939538,"Republican","Republican","Republican",2855287,81,1,12,6,24.8496577141183,37.6427786031823,37.1440010108283,25.3738111,0.292981345,10,15,20129695,15,23,3655,5,391.1,143.2,80.2
"Vermont","VT","Supports",54.01,1.17,4.6,4.8,32.3936124,"Democrat","Democrat","Democrat",626011,94,1,1,4,55.3042362822573,52.057304619097,21.3770275566817,68.2472588,-0.39073616,24,8,23086886,14,21,382,5.3,480.8,153.6,80.5
"Virginia","VA","Opposes",50,1,6,5,86.7191901,"Republican","TIE","Republican",8185867,65,19,7,8,47.0739058046787,59.8602946814416,28.3881621854199,51.9673767,0.011578578,10,13,89892713,16,22,8448,7.3,434.7,168.5,79
"Washington","WA","Supports",50.03,1,-1.6,2.5,93.0923004,"Democrat","Democrat","Democrat",6897012,71,3,11,15,49.6133477680592,55.7653162287888,26.3303874640128,57.6282983,-0.136199756,16,14,189825503,16,24,5464,5.1,483.5,151.5,79.9
"West Virginia","WV","Supports",71.35,2.49,35.3,31.7,58.6220064,"Democrat","Democrat","Democrat",1855413,93,3,1,3,29.5062675817918,49.3123625954366,36.834198918816,36.3257024,0.129742033,17,15,69260656,21,30,1880,7.6,470.9,211.2,75.4
"Wisconsin","WI","Opposes",58.27,1.4,2.5,3.3,74.9349868,"Republican","Republican","Republican",5726398,83,5,7,6,48.9912969415965,48.7267570100047,25.9849472164369,53.5163824,0.037998973,17,10,96998597,16,22,4818,6.4,NA,165.1,80
"Wyoming","WY","Opposes",50,1,48.4,53.1,29.9545597,"Republican","Republican","Republican",576412,86,0,9,4,26.3567780036879,43.6348711109597,38.0151802792252,28.839366,0.248082271,12,17,232233,14,21,679,6.8,436.5,169.8,78.3
