age_bin,gender_bin,race_bin,educ_bin,count,fips
30-44,Female,White,College degree,67318,01
30-44,Female,White,H.S. or less,82743,01
30-44,Female,White,Postgraduate,39074,01
30-44,Female,White,Some college,96361,01
30-44,Male,Asian,College degree,2125,01
30-44,Male,Asian,H.S. or less,1453,01
30-44,Male,Asian,Postgraduate,2651,01
30-44,Male,Asian,Some college,1660,01
30-44,Male,Black,College degree,12093,01
30-44,Male,Black,H.S. or less,64786,01
30-44,Male,Black,Postgraduate,4917,01
30-44,Male,Black,Some college,32622,01
30-44,Male,Hispanic,College degree,2072,01
30-44,Male,Hispanic,H.S. or less,19474,01
30-44,Male,Hispanic,Postgraduate,1004,01
30-44,Male,Hispanic,Some college,4840,01
30-44,Male,Other,College degree,1536,01
30-44,Male,Other,H.S. or less,3501,01
30-44,Male,Other,Postgraduate,1038,01
30-44,Male,Other,Some college,3489,01
30-44,Male,White,College degree,56124,01
30-44,Male,White,H.S. or less,109314,01
30-44,Male,White,Postgraduate,27688,01
30-44,Male,White,Some college,87107,01
45-64,Female,Asian,College degree,1838,01
45-64,Female,Asian,H.S. or less,3505,01
45-64,Female,Asian,Postgraduate,1752,01
45-64,Female,Asian,Some college,1676,01
45-64,Female,Black,College degree,23959,01
45-64,Female,Black,H.S. or less,76186,01
45-64,Female,Black,Postgraduate,14784,01
45-64,Female,Black,Some college,61007,01
45-64,Female,Hispanic,College degree,2218,01
45-64,Female,Hispanic,H.S. or less,8278,01
45-64,Female,Hispanic,Postgraduate,1548,01
45-64,Female,Hispanic,Some college,3584,01
45-64,Female,Other,College degree,1879,01
45-64,Female,Other,H.S. or less,4980,01
45-64,Female,Other,Postgraduate,1929,01
45-64,Female,Other,Some college,5136,01
45-64,Female,White,College degree,77496,01
45-64,Female,White,H.S. or less,172278,01
45-64,Female,White,Postgraduate,51671,01
45-64,Female,White,Some college,150379,01
45-64,Male,Asian,College degree,1080,01
45-64,Male,Asian,H.S. or less,2315,01
45-64,Male,Asian,Postgraduate,2500,01
45-64,Male,Asian,Some college,1524,01
45-64,Male,Black,College degree,11567,01
45-64,Male,Black,H.S. or less,87021,01
45-64,Male,Black,Postgraduate,6721,01
45-64,Male,Black,Some college,36396,01
45-64,Male,Hispanic,College degree,1697,01
45-64,Male,Hispanic,H.S. or less,9278,01
45-64,Male,Hispanic,Postgraduate,1565,01
45-64,Male,Hispanic,Some college,4209,01
45-64,Male,Other,College degree,1295,01
45-64,Male,Other,H.S. or less,5192,01
45-64,Male,Other,Postgraduate,798,01
45-64,Male,Other,Some college,3819,01
45-64,Male,White,College degree,73943,01
45-64,Male,White,H.S. or less,190559,01
45-64,Male,White,Postgraduate,45680,01
45-64,Male,White,Some college,125329,01
65+,Female,Asian,College degree,602,01
65+,Female,Asian,H.S. or less,2977,01
65+,Female,Asian,Postgraduate,1210,01
65+,Female,Asian,Some college,542,01
65+,Female,Black,College degree,8546,01
65+,Female,Black,H.S. or less,57449,01
65+,Female,Black,Postgraduate,6323,01
65+,Female,Black,Some college,22516,01
65+,Female,Hispanic,College degree,375,01
65+,Female,Hispanic,H.S. or less,3480,01
65+,Female,Hispanic,Postgraduate,310,01
65+,Female,Hispanic,Some college,802,01
