State,Gender,Education,18-29,30-44,45-64,65+
Connecticut,, -> Total -> Total Connecticut -> Total Male,291945,320829,485226,268334
Connecticut,Male,H.S. or less,121252,114740,189688,105384
Connecticut,Male,Some college,101769,75150,112045,56763
Connecticut,Male,College graduate,56212,79678,100366,47751
Connecticut,Male,Postgraduate,12712,51261,83127,58436
Connecticut,, -> Total -> Total Connecticut -> Total Female,275580,327860,518727,346849
Connecticut,Female,H.S. or less,83034,82134,166774,164294
Connecticut,Female,Some college,106780,82433,141943,81967
Connecticut,Female,College graduate,65285,86478,119364,48739
Connecticut,Female,Postgraduate,20481,76815,90646,51849
Delaware,, -> Total -> Total Delaware,149303,174379,257624,181910
Delaware,, -> Total -> Total Delaware -> Total Male,75155,86042,121959,81113
Delaware,Male,H.S. or less,36673,37778,55187,32199
Delaware,Male,Some college,25646,21906,30442,19313
Delaware,Male,College graduate,10325,15936,21218,15228
Delaware,Male,Postgraduate,2511,10422,15112,14373
Delaware,, -> Total -> Total Delaware -> Total Female,74148,88337,135665,100797
Delaware,Female,H.S. or less,28128,28862,50230,46507
Delaware,Female,Some college,28758,24893,38480,27784
Delaware,Female,College graduate,12802,19313,27419,14959
Delaware,Female,Postgraduate,4460,15269,19536,11547
District of Columbia,, -> Total -> Total District of Columbia,156966,187186,145895,86026
District of Columbia,, -> Total -> Total District of Columbia -> Total Male,71598,91061,71562,35191
District of Columbia,Male,H.S. or less,21204,18251,23074,10833
District of Columbia,Male,Some college,18007,10962,13100,5703
District of Columbia,Male,College graduate,22863,24820,13244,5175
District of Columbia,Male,Postgraduate,9524,37028,22144,13480
District of Columbia,, -> Total -> Total District of Columbia -> Total Female,85368,96125,74333,50835
District of Columbia,Female,H.S. or less,18190,16392,22658,18766
District of Columbia,Female,Some college,23488,11596,15632,11136
District of Columbia,Female,College graduate,30433,23658,13776,9034
District of Columbia,Female,Postgraduate,13257,44479,22267,11899
Florida,, -> Total -> Total Florida,3157010,3924593,5573319,4347812
Florida,, -> Total -> Total Florida -> Total Male,1612175,1962173,2686899,1959991
Florida,Male,H.S. or less,760130,826529,1139036,765862
Florida,Male,Some college,599131,561779,762612,515856
Florida,Male,College graduate,209211,376712,495886,368634
Florida,Male,Postgraduate,43703,197153,289365,309639
Florida,, -> Total -> Total Florida -> Total Female,1544835,1962420,2886420,2387821
Florida,Female,H.S. or less,564624,616946,1081676,1156392
Florida,Female,Some college,640987,618774,935617,649274
Florida,Female,College graduate,272008,464881,560295,342847
Florida,Female,Postgraduate,67216,261819,308832,239308
Georgia,, -> Total -> Total Georgia,1769137,2094811,2688832,1458810
Georgia,, -> Total -> Total Georgia -> Total Male,894134,1017674,1291159,634474
Georgia,Male,H.S. or less,435519,431283,554292,275356
Georgia,Male,Some college,309973,271174,333962,156635
Georgia,Male,College graduate,123862,201239,249214,112939
Georgia,Male,Postgraduate,24780,113978,153691,89544
Georgia,, -> Total -> Total Georgia -> Total Female,875003,1077137,1397673,824336
Georgia,Female,H.S. or less,324452,328333,505598,427675
Georgia,Female,Some college,354144,328994,422654,210117
Georgia,Female,College graduate,156430,242766,280767,103040
Georgia,Female,Postgraduate,39977,177044,188654,83504
Hawaii,, -> Total -> Total Hawaii,224297,280083,352220,261195
Hawaii,, -> Total -> Total Hawaii -> Total Male,120699,143258,174204,118322
Hawaii,Male,H.S. or less,56811,49466,64464,43222
Hawaii,Male,Some college,46126,48304,55532,32442
Hawaii,Male,College graduate,15295,31035,35137,24453
Hawaii,Male,Postgraduate,2467,14453,19071,18205
Hawaii,, -> Total -> Total Hawaii -> Total Female,103598,136825,178016,142873
Hawaii,Female,H.S. or less,36452,35841,57262,64297
Hawaii,Female,Some college,44036,43036,58346,37927
Hawaii,Female,College graduate,18729,37710,41684,24697
Hawaii,Female,Postgraduate,4381,20238,20724,15952
Idaho,, -> Total -> Total Idaho,280935,334373,417199,277645
Idaho,, -> Total -> Total Idaho -> Total Male,144746,168507,207251,131359
Idaho,Male,H.S. or less,70990,64137,79079,45820
Idaho,Male,Some college,55210,54402,71979,42771
Idaho,Male,College graduate,16342,32501,36006,24977
Idaho,Male,Postgraduate,2204,17467,20187,17791
Idaho,, -> Total -> Total Idaho -> Total Female,136189,165866,209948,146286
Idaho,Female,H.S. or less,53172,47359,68623,60260
Idaho,Female,Some college,59788,61790,83996,51828
Idaho,Female,College graduate,20356,40813,38624,23235
Idaho,Female,Postgraduate,2873,15904,18705,10963
Illinois,, -> Total -> Total Illinois,2070876,2507849,3293218,1990130
Illinois,, -> Total -> Total Illinois -> Total Male,1051805,1257639,1611991,868470
Illinois,Male,H.S. or less,422378,435003,631041,370313
Illinois,Male,Some college,387494,345547,454128,221083
Illinois,Male,College graduate,197828,300338,315335,148476
Illinois,Male,Postgraduate,44105,176751,211487,128598
Illinois,, -> Total -> Total Illinois -> Total Female,1019071,1250210,1681227,1121660
Illinois,Female,H.S. or less,320499,324713,570460,549401
Illinois,Female,Some college,401004,355456,522772,299742
Illinois,Female,College graduate,233714,328601,354104,155971
Illinois,Female,Postgraduate,63854,241440,233891,116546
Indiana,, -> Total -> Total Indiana,1113006,1248549,1714168,1051179
Indiana,, -> Total -> Total Indiana -> Total Male,567544,622836,843017,463041
Indiana,Male,H.S. or less,279526,265656,404525,232064
Indiana,Male,Some college,197570,180195,226933,112117
