State,Gender,Education,18-29,30-44,45-64,65+
Texas,Male,College graduate,330037,590302,615135,304425
Texas,Male,Postgraduate,71048,316272,365537,224332
Texas,, -> Total -> Total Texas -> Total Female,2402538,2964546,3441309,1990414
Texas,Female,H.S. or less,916188,994616,1390847,998975
Texas,Female,Some college,978452,882123,1017019,543903
Texas,Female,College graduate,408149,694397,678504,274370
Texas,Female,Postgraduate,99749,393410,354939,173166
Utah,, -> Total -> Total Utah,599657,653771,621243,349088
Utah,, -> Total -> Total Utah -> Total Male,306891,333006,308709,162982
Utah,Male,H.S. or less,125932,99891,95700,39613
Utah,Male,Some college,136124,106539,103690,56507
Utah,Male,College graduate,37373,79292,64425,35125
Utah,Male,Postgraduate,7462,47284,44894,31737
Utah,, -> Total -> Total Utah -> Total Female,292766,320765,312534,186106
Utah,Female,H.S. or less,93854,85758,97022,69680
Utah,Female,Some college,138434,116039,120544,67557
Utah,Female,College graduate,52362,85689,64379,32458
Utah,Female,Postgraduate,8116,33279,30589,16411
Vermont,, -> Total -> Total Vermont,104359,107358,175859,121100
Vermont,, -> Total -> Total Vermont -> Total Male,53463,53700,85849,55446
Vermont,Male,H.S. or less,23445,18867,38020,21341
Vermont,Male,Some college,18421,15232,20230,13491
Vermont,Male,College graduate,10241,13315,15941,10377
Vermont,Male,Postgraduate,1356,6286,11658,10237
Vermont,, -> Total -> Total Vermont -> Total Female,50896,53658,90010,65654
Vermont,Female,H.S. or less,15961,12613,28107,25232
Vermont,Female,Some college,21137,14110,25317,16733
Vermont,Female,College graduate,11312,16525,20455,12599
Vermont,Female,Postgraduate,2486,10410,16131,11090
Virginia,, -> Total -> Total Virginia,1404129,1696526,2225307,1315090
Virginia,, -> Total -> Total Virginia -> Total Male,719759,847758,1080776,582382
Virginia,Male,H.S. or less,296666,280838,400358,221771
Virginia,Male,Some college,267968,224664,262135,134477
Virginia,Male,College graduate,127303,197091,220595,107894
Virginia,Male,Postgraduate,27822,145165,197688,118240
Virginia,, -> Total -> Total Virginia -> Total Female,684370,848768,1144531,732708
Virginia,Female,H.S. or less,212316,201280,358150,333548
Virginia,Female,Some college,272758,233713,334470,191210
Virginia,Female,College graduate,152073,224389,259641,118390
Virginia,Female,Postgraduate,47223,189386,192270,89560
Washington,, -> Total -> Total Washington,1237458,1571563,1890478,1159893
Washington,, -> Total -> Total Washington -> Total Male,643922,803645,935968,529065
Washington,Male,H.S. or less,278918,252923,306448,153486
Washington,Male,Some college,229734,246445,305825,169075
Washington,Male,College graduate,110572,191439,198398,112112
Washington,Male,Postgraduate,24698,112838,125297,94392
Washington,, -> Total -> Total Washington -> Total Female,593536,767918,954510,630828
Washington,Female,H.S. or less,198643,188395,274217,230125
Washington,Female,Some college,236817,241818,348528,216345
Washington,Female,College graduate,124854,200540,205132,112442
Washington,Female,Postgraduate,33222,137165,126633,71916
West Virginia,, -> Total -> Total West Virginia,268562,321520,492209,360282
West Virginia,, -> Total -> Total West Virginia -> Total Male,138921,162068,242454,163475
West Virginia,Male,H.S. or less,74449,81229,142210,95251
West Virginia,Male,Some college,47436,44316,55218,35369
West Virginia,Male,College graduate,14266,24068,27903,16772
West Virginia,Male,Postgraduate,2770,12455,17123,16083
West Virginia,, -> Total -> Total West Virginia -> Total Female,129641,159452,249755,196807
West Virginia,Female,H.S. or less,53442,58131,124567,122176
West Virginia,Female,Some college,52649,53917,70654,42457
West Virginia,Female,College graduate,17622,28237,31688,16248
West Virginia,Female,Postgraduate,5928,19167,22846,15926
Wisconsin,, -> Total -> Total Wisconsin,920617,1071592,1559341,981354
Wisconsin,, -> Total -> Total Wisconsin -> Total Male,470900,542048,777632,447123
Wisconsin,Male,H.S. or less,199657,193502,323341,202607
Wisconsin,Male,Some college,182777,180985,243015,117145
Wisconsin,Male,College graduate,76871,115849,135443,71017
Wisconsin,Male,Postgraduate,11595,51712,75833,56354
Wisconsin,, -> Total -> Total Wisconsin -> Total Female,449717,529544,781709,534231
Wisconsin,Female,H.S. or less,148804,129379,268866,274269
Wisconsin,Female,Some college,186339,178195,271841,142688
Wisconsin,Female,College graduate,94742,145251,161803,74118
Wisconsin,Female,Postgraduate,19832,76719,79199,43156
Wyoming,, -> Total -> Total Wyoming,92235,112696,145728,95770
Wyoming,, -> Total -> Total Wyoming -> Total Male,48566,58504,73827,46194
Wyoming,Male,H.S. or less,22575,22029,29032,16676
Wyoming,Male,Some college,20044,21526,25737,14561
Wyoming,Male,College graduate,4622,9619,11674,8302
Wyoming,Male,Postgraduate,1325,5330,7384,6655
Wyoming,, -> Total -> Total Wyoming -> Total Female,43669,54192,71901,49576
Wyoming,Female,H.S. or less,16714,13935,21914,20348
Wyoming,Female,Some college,19607,20556,29267,17311
Wyoming,Female,College graduate,5549,12574,13460,7586
Wyoming,Female,Postgraduate,1799,7127,7260,4331
